check_name,status,observed_value,required_value,severity,reason
canary_gate_passed,pass,pass,pass_or_not_required,critical,
outer_split_count,pass,3,3,critical,
every_selected_factor_has_cluster,pass,"[460, 238, 214]","[460, 238, 214]",critical,
every_cluster_has_representative,pass,"[45, 46, 52]","[45, 46, 52]",critical,
duplicate_cluster_votes,pass,0,0,critical,
minimum_components,pass,"[45, 46, 52]",>=3,critical,
insufficient_pair_overlap_count,pass,0,0,critical,
exposure_dates_exactly_allowed,pass,0,0,critical,
performance_dates_exactly_allowed,pass,0,0,critical,
allowed_dates_hash_match,pass,3,3,critical,
source_manifests_hash_bound,pass,3,3,critical,
